Report_ID,Incident_Type,Date,Location,Officer,Summary,Suspect_Description,Outcome
RPT_001,Cover Letter,2015-05-26,Benton County Sheriff’s Office,Kelley Cradduck,"The purpose of obtaining this vehicle is for it to be utilized by the Benton County Sheriffs Office Special Weapons and Tactics Team for the protection of officers and citizens during high risk operations for the safety of persons from threats such as, but not limited to potential gunfire.",N/A,N/A
RPT_002,Policies and Procedures,2014-08-01,Benton County Sheriff’s Office,N/A,The purpose of this vehicle is that it will be utilized by the Benton County Sheriff's Office for the protection of law enforcement officers and citizens during high risk operations for the safety of persons from threats such as but not limited to potential gunfire.,N/A,N/A
RPT_003,Training Lesson Plan,N/A,Benton Police Department,Scotty Hodges,"This 4 hour block of training will consist of class room training, as well as hands on training.",N/A,N/A
RPT_004,Department Policy,2015-04-24,Benton Police Department,N/A,This policy provides clear guidelines for the safe and effective deployment of the Benton A.,N/A,N/A
RPT_005,Letter,2014-07-01,Arkansas Commission,Brian Marshall,In response to your applications(s) for certification of law enforcement training to be conducted by your agency.,N/A,N/A
RPT_006,Cover Letter,2014-07-02,Bryant Police Department,Mark Kizer,"James the Bryant Police department sent 3 senior officers to MRAP training on July 2, train the trainer class.",N/A,N/A
RPT_007,Department Policy,N/A,Cabot Police Department,N/A,This policy is for internal use only and does not enlarge an employee’s civil liability in any way.,N/A,N/A
RPT_008,Road Course Evaluation,N/A,Cabot Police Department,N/A,"MRAP Road Course and Training Ammual MRAP Certification, Requires 4 minimum of 4 hour of evaluated driving while completing the following: a.",N/A,N/A
RPT_009,Cover Letter,2015-05-29,Craighead County Sheriff's Office,Marty Bovd,"The purpose of this vehicle is to be utilized by the Craighead County Special Weapons and Tactics team for the protection of officers during high risk operations for the safety of such officers frorn potential gunfire while in the performance of their duties, Additional uses of this vehicle will be ",N/A,N/A
RPT_010,Cover Letter,2015-05-29,Craighead County Sheriff's Office,Randy Sharp,"The following dacumentation is intended to document to intended use and training of the Mine Resistatant Ambush Protection Vehicle, which was allocated to the Craighead County Sheriff's office, by the United States The Craighead County Sheriff's Office recognizes this vehicle is the Property of the ",N/A,N/A
RPT_011,Training Lesson Plan,N/A,Craighead County Sheriff's Office,Randy Sharp,"CLEST Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations Lecture, Questions & Answers, Visual Presentation APPROVED BY: The student will become familiar with the basic Operations of the Mine Resistant Ambush Protection The student will be able to identify the Power Plant",N/A,N/A
RPT_012,Cover Letter,2015-06-11,Crawford County Sheriff's Department,Jim Damante,"Jurisdiction size including MOU’s with surrounding counties is approximately 2729 Square miles We - have MOU’s with Sebastian , Franklin , and Washington counties in Ar.-And Sequoyah in Ok , Also with 2.",N/A,N/A
RPT_013,Cover Letter,2015-01-27,Crawford County Sheriff's Office,Rick Dahlem,"Ta: Whom it may Concern The following documentation is intended to document the intended use and training of the Mine Resistant Ambush Protection Vehicle, which was allocated to the Crawford County Sheriff's Office, by the United States The Crawford County Sheriff's Office recognizes this vehicle is",N/A,N/A
RPT_014,Training Lesson Plan,N/A,Crawford County Sheriff's Office,Rick Dahiem,"CLEET Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations Number of Trainees; 10-15 Date: Lecture, Questions & Answers, Visual Presentation APPROVED BY: CLEET Standards Division The student will become familiar with the basic Operations of the Mine Resistant Ambush Protec",N/A,N/A
RPT_015,Cover Letter,2015-01-19,Fort Smith Police Department,Monty McMillen,"The following documentation is intended to document the intended use and training of the Mine Resistatant Ambush Protection Vehicle, which was allocated to the Fort Smith Police Department, by the United States Government.",N/A,N/A
RPT_016,Training Lesson Plan,2014-06-30,Fort Smith Police Department,Monty McMillen,The student will become familiar with the basic Operations of the Mine Resistant Ambush Protection 1.,N/A,N/A
RPT_017,Course Cover Sheet,2015-05-05,Hot Springs Police Department,Eric Wacaster,"Course Cover Sheet from Hot Springs Police Department, 2015-05-05.",N/A,N/A
RPT_018,Course Summary Sheet,N/A,Hot Springs Police Department,Eric Wacaster,"To familiarize Hot Springs Police Department SWAT Operators with basic MRAP functions, preventative maintenance, and driving operations of the MRAP.",N/A,N/A
RPT_019,Course Outline,N/A,Hot Springs Police Department,Zac Rostan,General vehicle familiarization and identification 4.,N/A,N/A
RPT_020,Cover Letter,2015-05-21,Independence County Sheriffs Office,Steve Jeffery,The purpose of this vehicle is to be used by the Independence County Sheriffs Office for the protection of officers from potential gunfire during high risk operations and to assist the citizens of Independence County during natural disaster events to navigate through extreme terrain or drive over da,N/A,N/A
RPT_021,Cover Letter,2015-01-14,Jacksonville AR Police Department,Brett Hibbs,"The following documentation is intended to document to intended use and training of the Mine Resistatant Ambush Protection Vehicle, which was allocated to the Jacksonville AR Police Department, by the United States The Jacksonville Police Department recognizes this vehicle is the Property of the Uni",N/A,N/A
RPT_022,Training Lesson Plan,2014-07-19,Jacksonville AR Police Department,Brett Hibbs,The student will become familiar with the basic Operations of the Mine Resistant Ambush Protection 1.,N/A,N/A
RPT_023,Standard Operating Procedure,2015-01-13,Jefferson County Sheriff’s Office,N/A,The Jefferson County Sheriff recognizes and  appreciates the uniqueness of this vehicle.,N/A,N/A
RPT_024,Divisional Operating Procedure,2012-04-26,Little Rock Police Department,N/A,The magnitude of demands for police service increases as today’s society becomes more mobile and affluent.,N/A,N/A
RPT_025,Cover Letter,2015-05-21,Little Rock Police Department,Wayne Bewley,"The training program was designed to help law enforcement mitigate risk to both officers and the public, and included both classroom and practical exercises.",N/A,N/A
RPT_026,Memorandum,2014-06-17,City of Little Rock Police Department,Walter Ederle,"The operator training, which will train officers as operators and enable them to train other operators, is scheduled for July 1* and 2"" at our Training Division.",N/A,N/A
RPT_027,Cover Letter,N/A,Smith Integrated Technology Services,Paul Smith,"To whom it may concern, My name is Paul Smith and | am the President of Smith Integrated Technology Services.",N/A,N/A
RPT_028,Invoice,2014-06-04,Little Rock Police Dept,N/A,(Cy Simith Integrated Technologies Training services regarding the M.R.A.P.,N/A,N/A
RPT_029,Training Certificate,2014-07-02,Joint Program Office,Antonio Metcalf,For the successful completion of the Caiman M.R.A.P.,N/A,N/A
RPT_030,Training Certificate,2014-07-02,Joint Program Office,Stuart Young,For the successful completion of the Caiman M.R.A.P.,N/A,N/A
RPT_031,Training Certificate,2014-07-02,Joint Program Office,Jeffery Plunkett,For the successful completion of the Caiman M.R.A.P.,N/A,N/A
RPT_032,Training Certificate,2014-07-02,Joint Program Office,Douglass Meiggs,For the successful completion of the Caiman M.R.A.P.,N/A,N/A
RPT_033,Aircraft Request Form,2015-02-17,Little Rock Police Department,Kenton Buckner,"If fixed wing, specific model: cia | C172 [] cis | Other: c.",N/A,N/A
RPT_034,Cover Letter,2015-02-19,Little Rock Police Department,N/A,The Little Rock Police Department currently employees over 500 sworn officers.,N/A,N/A
RPT_035,Cover Letter,2015-12-01,Lonoke County Sheriff’s Office,John Staley,"The following documentation is intended to document to intended use and training of the Mine Resistant Ambush Protection Vehicle, which was allocated to the Lonoke County Sheriff’s office, by the United States Government.",N/A,N/A
RPT_036,Training Lesson Plan,N/A,Lonoke County Sheriff’s Office,James Hall,James Hall Certified Law Enforcement Instructor The student will become familiar with the basic Operations of the Mine Resistant Ambush Protection Vehicle (MRAP).,N/A,N/A
RPT_037,Cover Letter,2014-12-17,Mississippi County Sheriff's Department,N/A,will be utilized by the Special Response team of the Mississippi County Sheriff's Department for the protection of its officers during high risk operations where such officers may be subjected to gunfire while in the performance of their duties.,N/A,N/A
RPT_038,Cover Letter,2015-06-08,Pulaski County Sheriff's Office,Doc Holladay,The purpose of the vehicle is for use by the PCSO Special Weapons and Tactics (SWAT) Team in the protection of personnel during high risk operations by providing safe cover from potential gunfire while in the performance of their duties.,N/A,N/A
RPT_039,Cover Letter,2015-03-16,Rogers Police Department,Hayes Minor,"intends to only allow personnel with appropriate training to use, operate, and maintain the MRAP assigned to the Rogers Police Department.",N/A,N/A
RPT_040,Training Certificate,2014-07-18,N/A,James Leslie,Joint Program Office ice or the successful completion of the RG-33 MRAP.,N/A,N/A
RPT_041,Training Certificate,2014-07-18,Joint Program Office,Thomas Helmich,For the successful completion ofthe =~ RG-33 MRAP.,N/A,N/A
RPT_042,Cover Letter,2015-06-01,Union County Sheriff's Office,Mike Mcgough,The purpose of this vehicle 1s to be used by the Union County Sheriff's Office Special Response Team for the protection of officers during high risk operations for the safety of such officers from potential gunfire while in the performance of their duties.,N/A,N/A
